#Table1
objID,run,ra,dec,rerun,camcol,field,z,zErr,template_photo_z,template_photo_zErr
1237645879551000764,94,348.841086940713,1.26880178583458,301,6,93,0.3996609,7.808021E-05,0.378505,0.041041
1237645879562928805,94,16.026028703005,1.26677200796832,301,6,275,0.7527305,0.0002669935,0.679374,0.068663
1237645879573873373,94,41.0196126806213,1.27127864890579,301,6,442,0.5048684,0.0002128316,0.487843,0.041076
1237645941824356668,109,40.2778355788529,-0.777074114700314,301,2,37,0.3667441,6.241383E-05,0.33533,0.085458
1237645941824357025,109,40.2847510935017,-0.767710946671086,301,2,37,0.6265994,0.000152301,0.613922,0.042154
1237645942898230100,109,40.5799717733161,0.119814623956833,301,4,39,0.5112194,8.776892E-05,0.536943,0.030229
1237645942898230422,109,40.5873087949461,0.0996939020411944,301,4,39,0.6881006,0.0003075206,0.713245,0.083741
1237645943433659112,109,37.2832939198647,0.630679933780802,301,5,17,0.4615514,9.338545E-05,0.546394,0.032576
1237645943433724239,109,37.4039255392484,0.629883429818285,301,5,18,0.583263,2.768342E-05,0.614681,0.156346
1237645943434969247,109,40.2729265156897,0.60606378585419,301,5,37,0.2178384,2.764769E-05,0.213084,0.013081
1237645943973609729,109,44.2415570930409,0.890063192796081,301,6,64,0.9596722,0.000338508,0.621606,0.16601
1237645943973609779,109,44.1916582191237,1.05259674405966,301,6,64,0.5303158,0.0001396089,0.503236,0.068998
1237645943973609994,109,44.3100015363353,0.995231702344647,301,6,64,0.5295813,9.539275E-05,0.490305,0.037602
1237645943973610015,109,44.3174043007564,0.915279855225691,301,6,64,0.838605,0.0001093617,0.564042,0.177442
1237645943973610108,109,44.2326557717097,0.899325538243084,301,6,64,0.6564389,0.0001768189,0.665286,0.04921
1237645943973610114,109,44.2342140431717,0.918096809126493,301,6,64,0.6902823,0.0001407779,0.666742,0.042685
1237645943973610128,109,44.2455492727925,1.05938239829728,301,6,64,0.6350201,0.0002073141,0.572957,0.059665
1237645943973610187,109,44.2931462790592,1.01775969469043,301,6,64,0.6892225,0.0004061564,0.659238,0.050958
1237645943973610217,109,44.3159658788896,0.945727710794655,301,6,64,0.5322651,0.0001546517,0.670262,0.059168
1237645943973610229,109,44.3250983676706,0.969249121154748,301,6,64,0.7316579,8.862364E-05,0.4701,0.108298
1237645943973610236,109,44.3291203968685,1.0041291627293,301,6,64,0.888149,0.00010658,0.669284,0.077471
1237645943973610257,109,44.202318779814,1.04052488730446,301,6,64,0.8404443,0.0004340871,0.606226,0.050495
1237645943973675384,109,44.3694644146042,0.971656048481766,301,6,65,0.3234076,5.257378E-05,0.275656,0.035075
1237645943973675674,109,44.4039020343149,0.939093622927267,301,6,65,0.7320235,0.000326097,0.613094,0.056471
1237646586102481919,259,87.6087074993043,-0.608192782389182,301,2,541,0.184409,3.549284E-05,0.13764,0.016417
1237646586638631776,259,86.0206272550022,-0.168092536402181,301,3,530,0.1212948,1.293675E-05,0.16587,0.028407
1237646586638762925,259,86.3027590754632,-0.197644783639508,301,3,532,0.1799669,6.250684E-05,0.231016,0.036225
1237646586639089979,259,87.0705260161423,-0.189387405330797,301,3,537,0.1815861,4.068862E-05,-9999,-9999
1237646586639286761,259,87.5010359262949,-0.197174167042477,301,3,540,0.1195249,3.107103E-05,0.1109,0.027818
1237646586639286849,259,87.5353520184452,-0.0106899586008848,301,3,540,0.1095455,4.346742E-05,0.101626,0.019881
1237646586639287212,259,87.4335561683113,-0.186252763226156,301,3,540,0.2785011,3.751783E-05,0.340024,0.043985
1237646586639483915,259,87.8868395523243,-0.123869912917329,301,3,543,0.1495817,2.074713E-05,0.104004,0.039691
1237646587173340066,259,81.0908337324878,0.389770197043796,301,4,497,0.1530028,3.029159E-05,0.133098,0.034339
1237646587173405681,259,81.1813439304045,0.41363993690756,301,4,498,0.2365103,1.512913E-05,0.219996,0.026942
1237646587173470818,259,81.419412599001,0.379345498714517,301,4,499,0.4437218,8.700433E-05,0.280627,0.071642
1237646587173536762,259,81.5420226109404,0.414856103303551,301,4,500,0.1785832,1.489411E-05,0.190723,0.024958
1237646587175371367,259,85.636965279422,0.407375724134304,301,4,528,0.1248497,1.864344E-05,0.13854,0.027922
1237646587175371616,259,85.7175745318452,0.312184719988049,301,4,528,0.1218914,2.145067E-05,0.10014,0.020297
1237646587175372001,259,85.6152709372312,0.361782495022219,301,4,528,0.1484322,2.368174E-05,0.197418,0.034036
1237646587175372327,259,85.7384094505398,0.283343074389934,301,4,528,0.1498839,1.370329E-05,0.192886,0.029972
1237646587175437486,259,85.7797349698074,0.309462203837918,301,4,529,0.1147904,3.917236E-05,0.09446,0.023229
1237646587175502059,259,85.9961163909275,0.243688043592525,301,4,530,0.1210648,3.768887E-05,0.147874,0.025933
1237646587175568426,259,86.1662613990878,0.404535196092754,301,4,531,0.1206641,3.497345E-05,0.134427,0.013809
1237646587176092705,259,87.3959488393357,0.285613545290974,301,4,539,0.1193381,3.638846E-05,0.096682,0.031816
1237646587176092804,259,87.2763674221158,0.252318675564364,301,4,539,0.2174197,1.816432E-05,0.193004,0.121355
1237646587176093118,259,87.3332323544524,0.220422040785695,301,4,539,0.2588234,5.979076E-05,-9999,-9999
1237646587176223740,259,87.6249653983992,0.272072900708688,301,4,541,0.1500245,2.293432E-05,0.108165,0.032477
1237646587709817452,259,80.1720194423649,0.846667976206608,301,5,491,0.2199219,4.986681E-05,0.188008,0.031296
1237646587709883614,259,80.318193384744,0.706240935442639,301,5,492,0.1839998,3.20582E-05,0.153551,0.033006
1237646587709883771,259,80.3697894924952,0.683242197265598,301,5,492,0.5191099,0.000124896,0.443169,0.045213
1237646587709948032,259,80.4362181679801,0.663453615566306,301,5,493,0.1808923,2.749404E-05,0.172595,0.031222
1237646587709948506,259,80.4706747482816,0.83090097716022,301,5,493,0.140993,1.841231E-05,0.151134,0.032314
1237646587709948667,259,80.4177497959825,0.691171444329627,301,5,493,0.1820579,3.846718E-05,0.171868,0.012067
1237646587709948786,259,80.4248920587711,0.767694769845392,301,5,493,0.1389496,1.38316E-05,0.14626,0.03024
1237646587709948834,259,80.4841977272473,0.663620425365603,301,5,493,0.2420604,2.859702E-05,0.233305,0.026828
1237646587709949189,259,80.4629126550401,0.737156063992719,301,5,493,0.2720776,3.057473E-05,0.182391,0.067483
1237646587710013714,259,80.6121152837623,0.643241136215495,301,5,494,0.3659964,6.417333E-05,0.280886,0.041152
1237646587710211004,259,80.9842185675133,0.759456984891919,301,5,497,0.1317314,2.207329E-05,0.14961,0.027304
1237646587710341717,259,81.2999525089675,0.732651434774658,301,5,499,0.2379307,2.471125E-05,0.247265,0.030422
1237646587710342086,259,81.4176827452595,0.819474792497435,301,5,499,0.1535052,2.002763E-05,0.156253,0.02405
1237646587710342182,259,81.343216391401,0.730840741506411,301,5,499,0.2543027,1.378071E-05,0.18741,0.036606
1237646587710342298,259,81.3480752979614,0.748923967419461,301,5,499,0.2546388,2.053932E-05,0.160673,0.034355
1237646587710342788,259,81.3874994862533,0.824102798766963,301,5,499,0.2552992,6.551496E-05,0.271801,0.027205
1237646587710342832,259,81.3968552215467,0.743802074760592,301,5,499,0.2549418,2.960231E-05,0.199093,0.032926
1237646587710473458,259,81.6498639352534,0.66055733228881,301,5,501,0.2948294,6.426442E-05,0.202236,0.021319
1237646587710537808,259,81.7321199928584,0.755927608229475,301,5,502,0.3627982,2.355427E-05,0.333037,0.072899
1237646587710538208,259,81.8328605774899,0.78762631938326,301,5,502,0.1006068,2.462066E-05,0.113466,0.024632
1237646587710538710,259,81.8405335439681,0.761218942932896,301,5,502,0.2052611,4.040781E-05,0.21518,0.031435
1237646587710538884,259,81.7971652568405,0.794648897626412,301,5,502,0.199821,5.271332E-05,0.169907,0.028813
1237646587712308444,259,85.8849696248277,0.709815687546609,301,5,529,0.1146805,1.090635E-05,0.170112,0.026449
1237646587712439592,259,86.1116353266908,0.64182455424233,301,5,531,0.2504243,1.632596E-05,0.255002,0.034552
1237646587712766071,259,86.9123557042991,0.643412929778119,301,5,536,0.1160358,4.810746E-05,0.047281,0.040875
1237646587712897596,259,87.1444671715385,0.697449995178145,301,5,538,0.1142115,1.635624E-05,0.105217,0.034452
1237646587713028339,259,87.545881409243,0.671736573137649,301,5,540,0.1494735,2.619038E-05,0.286077,0.055697
1237646587713029177,259,87.4810276609431,0.638043411211753,301,5,540,0.1136948,4.405879E-05,0.137934,0.031448
1237646588246557684,259,79.8491286626005,1.24245563862871,301,6,489,0.331641,3.229269E-05,0.323418,0.032943
1237646588246623096,259,80.0089314449174,1.2675021198077,301,6,490,0.1587895,3.731986E-05,0.132488,0.041707
1237646588246623255,259,79.9578089137973,1.17557157755151,301,6,490,0.1493216,6.501332E-05,0.17575,0.048657
1237646588246688243,259,80.1082048592195,1.17670033213907,301,6,491,0.1499286,1.860427E-05,0.141309,0.02858
1237646588246688420,259,80.1776882460812,1.24602119746761,301,6,491,0.2824636,5.50536E-05,0.322277,0.044439
1237646588246688723,259,80.1656667551642,1.13285425079526,301,6,491,0.2815296,2.197849E-05,0.34689,0.047511
1237646588246688795,259,80.0828630153478,1.1224280225282,301,6,491,0.2132795,3.349159E-05,0.257108,0.044006
1237646588246754235,259,80.2482811691715,1.13739714658025,301,6,492,0.1386698,1.482874E-05,0.120007,0.024659
1237646588246950062,259,80.7965427379075,1.20981435997452,301,6,495,0.2780627,1.86158E-05,-9999,-9999
1237646588246950973,259,80.7204799544237,1.17875088851533,301,6,495,0.4926757,8.319657E-05,0.314549,0.09797
1237646588247015796,259,80.9056681542697,1.06569461419576,301,6,496,0.3332535,5.518355E-05,0.249314,0.030296
1237646588247016598,259,80.8613817554036,1.13060026482272,301,6,496,0.2772035,4.903664E-05,0.161211,0.03691
1237646588247082108,259,80.9995841915264,1.17251331251664,301,6,497,0.2770321,2.162805E-05,0.345049,0.080849
1237646588247147247,259,81.2514799253052,1.10647740399883,301,6,498,0.2800102,3.73781E-05,0.360667,0.057493
1237646588247147297,259,81.1778075333523,1.21939638387649,301,6,498,0.1986111,2.180476E-05,0.18882,0.018263
1237646588247147385,259,81.2452814674267,1.08102418936171,301,6,498,0.5890356,0.0002457949,0.274534,0.096242
1237646588247212137,259,81.3121678292609,1.11270532530909,301,6,499,0.154615,1.457558E-05,0.16338,0.04993
1237646588247213189,259,81.3932475053143,1.09532281550688,301,6,499,0.3371158,3.894863E-05,0.308818,0.059149
1237646588247213428,259,81.3721996199113,1.08591941871222,301,6,499,0.3390932,0.0001171005,0.327806,0.025163
1237646588247278474,259,81.523948284951,1.24450560656287,301,6,500,0.1847318,2.031482E-05,0.184914,0.024392
1237646588247278623,259,81.5221773302446,1.16447063394647,301,6,500,0.1986541,3.733103E-05,0.203273,0.029396
1237646588247343888,259,81.6751350324045,1.06865888192114,301,6,501,0.2772883,2.137951E-05,0.234399,0.03018
1237646588247344072,259,81.6027845248013,1.19965576616097,301,6,501,0.2796982,7.13705E-05,0.250938,0.044267
1237646588247344131,259,81.7097851851613,1.23845260575835,301,6,501,0.2231724,1.227771E-05,0.180367,0.036028
1237646588247409209,259,81.7297911865948,1.08805593994369,301,6,502,0.2001215,2.589215E-05,0.107522,0.027286
1237646588247409290,259,81.7601593620055,1.13575891389692,301,6,502,0.1781208,1.982877E-05,0.154672,0.025642
1237646588247474308,259,81.8950484236569,1.18818242076186,301,6,503,0.3496734,5.341244E-05,0.340881,0.029786
1237646588247474632,259,81.8806719260448,1.07619311508435,301,6,503,0.1539949,1.665033E-05,0.132082,0.018631
1237646588247474764,259,81.8712984852718,1.25880350904095,301,6,503,0.2412541,5.242769E-05,0.187995,0.031974
1237646588247474916,259,81.982507738776,1.18618904212465,301,6,503,0.2789071,2.104722E-05,0.221209,0.056519
1237646588247540577,259,82.138894235229,1.06307163479155,301,6,504,0.1051184,9.869399E-06,0.098093,0.026292
1237646588247540758,259,82.028510297136,1.10400342592331,301,6,504,0.2340893,2.968146E-05,0.251473,0.070646
1237646588247540779,259,82.0704020895901,1.09362586149845,301,6,504,0.2127712,1.360573E-05,0.21122,0.029985
1237646588247541110,259,82.1394886402682,1.13287213880883,301,6,504,0.2861369,3.005424E-05,0.333308,0.044084
1237646588249441819,259,86.4899040197658,1.06957641173781,301,6,533,0.329281,3.038017E-05,0.196051,0.059248
1237646648374789185,273,80.1267777687227,1.04700387411702,301,6,469,0.2547694,7.709128E-05,0.296392,0.057769
1237646750895965082,297,81.4852971843449,0.628593288597472,301,5,146,0.3171962,3.398993E-05,0.27423,0.043061
1237646750895965085,297,81.4857535219249,0.59732377827929,301,5,146,0.2526888,1.78365E-05,0.194715,0.038903
1237646794374644860,307,79.8815681633436,1.39122089067121,301,6,26,0.2994733,3.362764E-05,0.25882,0.043365
1237646794374710049,307,79.9527767357262,1.42776980749375,301,6,27,0.2145216,2.513975E-05,0.235944,0.015337
1237646794374775785,307,80.0880040711754,1.36404211925617,301,6,28,0.1428345,4.053815E-05,0.174409,0.040843
1237646794374776036,307,80.168240460738,1.27711746296848,301,6,28,0.1436649,2.796876E-05,0.184138,0.031581
1237646794374841070,307,80.2760140102845,1.36128001583844,301,6,29,0.2185884,3.16449E-05,0.241885,0.033866
1237646794374906267,307,80.5137373904543,1.36405888652492,301,6,30,0.2417888,9.743948E-06,-9999,-9999
1237646794374906841,307,80.4081564499979,1.38799620523786,301,6,30,0.2787474,2.258186E-05,0.281959,0.028407
1237646794374907288,307,80.5246493524998,1.33068784264209,301,6,30,0.3270299,5.882964E-05,0.364604,0.051058
1237646794374971743,307,80.6711802276542,1.42560381523056,301,6,31,0.2010886,1.950363E-05,0.165937,0.027271
1237646794374972483,307,80.5575344200521,1.32703153874234,301,6,31,0.2550786,2.043235E-05,0.150642,0.036466
1237646794374972563,307,80.5847142056174,1.31102000818205,301,6,31,0.3381552,3.979203E-05,0.196174,0.032813
1237646794375102897,307,80.9826547984619,1.35005674109972,301,6,33,0.1245463,1.7911E-05,0.110272,0.020722
1237646794375103496,307,80.8947471405676,1.40198922987804,301,6,33,0.1448618,3.429339E-05,0.196277,0.028545
1237646794375168948,307,81.065797775966,1.35053488044535,301,6,34,0.2184164,3.705166E-05,0.211671,0.031519
1237646794375169162,307,81.0363589116682,1.31128269466073,301,6,34,0.6312224,4.789463E-05,0.431488,0.176795
1237646794375365444,307,81.5406956983117,1.3799669493689,301,6,37,0.1491567,2.276459E-05,0.141208,0.023551
1237646794375431329,307,81.6133783879045,1.34120288809852,301,6,38,0.2457022,2.039386E-05,0.202865,0.030073
1237646794377397191,307,86.1828180159515,1.29621595318584,301,6,68,0.1315074,1.896746E-05,0.099952,0.025174
1237646794377528398,307,86.3788135124986,1.31600276268335,301,6,70,0.1567657,4.435095E-05,0.107917,0.023985
1237646794377594054,307,86.5931545726643,1.42298924980259,301,6,71,0.1535637,2.737775E-05,0.152406,0.037877
1237646794377855885,307,87.1616379492156,1.32958403467422,301,6,75,0.1011934,2.968122E-05,0.117286,0.060403
1237646794377855986,307,87.2108774991616,1.28246886859375,301,6,75,0.1389447,2.043511E-05,0.18106,0.079122
1237646796526322047,308,119.79867031241,-0.280338966143504,301,2,90,0.3522927,4.604062E-05,0.351876,0.019303
1237646796526323306,308,119.841274252397,-0.301031657042821,301,2,90,0.4847252,9.963502E-05,0.473389,0.025809
1237646796526387690,308,120.007589047917,-0.383270394755154,301,2,91,0.8162744,9.905463E-05,0.380406,0.152607
1237646796526387973,308,119.953280474137,-0.36164516596518,301,2,91,0.4879457,0.0001041629,0.490211,0.023229
1237646796526388477,308,119.905906720736,-0.345295476622283,301,2,91,0.4884937,0.0001596825,0.533422,0.033431
1237646796526388529,308,119.919816611753,-0.312472435144607,301,2,91,0.3122884,4.860046E-05,0.310431,0.024811
1237646796526388641,308,119.950328388217,-0.31838061811945,301,2,91,0.4889229,8.713901E-05,0.472472,0.017911
1237646796526388941,308,119.890049332444,-0.336443050928835,301,2,91,0.4859758,0.000212432,0.515407,0.064799
1237646796526452757,308,120.022955895467,-0.374464705826443,301,2,92,0.5564747,0.0001052304,0.521442,0.0211
1237646796526454207,308,120.067780577545,-0.296161886385603,301,2,92,0.3502079,7.727276E-05,0.3541,0.021569
1237646796526454311,308,120.092516579756,-0.390845980020747,301,2,92,0.6106337,0.0001195162,0.448663,0.06712
1237646796526454463,308,120.126040557888,-0.310952116226194,301,2,92,0.4333796,0.0001146065,0.424056,0.092775
1237646796526454587,308,120.164353145982,-0.271837262073912,301,2,92,0.6138543,8.664944E-05,0.642632,0.061027
1237646796526519181,308,120.21455798813,-0.406107489469456,301,2,93,0.1490823,1.9823E-05,0.11935,0.014842
1237646796526519245,308,120.236590934934,-0.356784368345343,301,2,93,0.4016752,6.152699E-05,0.374293,0.029852
1237646796526519422,308,120.290985068246,-0.336286120263625,301,2,93,0.4019703,4.931552E-05,0.455866,0.028215
1237646796526519943,308,120.233753590934,-0.288623770441347,301,2,93,0.6104183,0.0002165059,0.614899,0.053772
1237646796526519988,308,120.252722600305,-0.284291463031661,301,2,93,0.3100906,3.515101E-05,0.508351,0.121235
1237646796526584016,308,120.352481150649,-0.410640488930039,301,2,94,0.402643,9.580434E-05,0.506571,0.051441
1237646796526584563,308,120.322650849307,-0.353254512707895,301,2,94,0.356553,6.135306E-05,0.371961,0.026875
1237646796526585107,308,120.326074127419,-0.258275703045552,301,2,94,0.6101964,0.0002558753,0.680478,0.075735
1237646796526585152,308,120.340631370701,-0.346630429295822,301,2,94,0.356488,6.02944E-05,0.366371,0.034833
1237646796526650154,308,120.545518427732,-0.287122143038201,301,2,95,0.3573384,8.113895E-05,0.350813,0.015846
1237646796526650483,308,120.57366120254,-0.378810164817604,301,2,95,0.2859354,3.961924E-05,0.299923,0.025478
1237646796526650648,308,120.47635742094,-0.254391349812968,301,2,95,0.6800438,0.0001287034,0.607518,0.037987
1237646796526650940,308,120.591321319628,-0.330671809785197,301,2,95,0.3555702,8.691947E-05,0.378925,0.026843
1237646796526716067,308,120.710611315256,-0.256383295342302,301,2,96,0.5791053,0.0001129392,0.514478,0.035859
1237646796526716537,308,120.766385615964,-0.3702756458228,301,2,96,0.5521699,0.0001177873,0.542129,0.02944
1237646796526781776,308,120.836519805264,-0.386946454673693,301,2,97,0.612662,0.0001732468,0.543145,0.028206
1237646796526781856,308,120.858340476471,-0.257633452703771,301,2,97,0.5290349,0.0001280331,0.508927,0.02982
1237646796526781972,308,120.890329549083,-0.290543763854386,301,2,97,0.552299,0.0001026252,0.524064,0.032927
1237646796526782035,308,120.909135799145,-0.306398275441716,301,2,97,0.5128763,0.0001283315,0.547879,0.03455
1237646796526846129,308,120.968135400798,-0.275893125987503,301,2,98,0.353137,5.748078E-05,0.364397,0.02715
1237646796526846246,308,120.999021743501,-0.258646642339193,301,2,98,0.3551003,6.896541E-05,0.39302,0.134769
1237646796526913013,308,121.217854287816,-0.360682473930254,301,2,99,0.4688964,9.833986E-05,0.488217,0.022171
1237646796526977314,308,121.297510473899,-0.283448158369323,301,2,100,0.6206515,0.0001039235,0.536633,0.040938
1237646796527042670,308,121.403601660713,-0.297655774931697,301,2,101,0.4871793,5.122721E-05,0.458649,0.025483
1237646796527239852,308,121.90356833488,-0.268138063407872,301,2,104,0.2178683,2.85452E-05,0.197741,0.010996
1237646797063063190,308,119.527763598378,0.12891125849904,301,3,88,0.4843206,8.160361E-05,0.515206,0.068283
1237646797063128155,308,119.583833229691,0.0441886564098275,301,3,89,0.3107962,4.487206E-05,0.298811,0.019289
1237646797063128484,308,119.608386191499,0.123736103121339,301,3,89,0.3515945,4.777326E-05,0.358099,0.035912
1237646797063128661,308,119.660849519492,0.0621217517578629,301,3,89,0.5741645,0.0002415146,0.589527,0.048916
1237646797063128741,308,119.687161600103,0.064865533827031,301,3,89,0.4689507,7.951953E-05,0.460647,0.049598
1237646797063192682,308,119.747732532859,0.0250188466910574,301,3,90,0.5753962,0.000131018,0.600376,0.037611
1237646797063192748,308,119.764703471223,0.137583052563322,301,3,90,0.2409147,4.747738E-05,0.4284,0.16565
1237646797063192976,308,119.808893128263,0.0774954861609249,301,3,90,0.3955868,7.279181E-05,0.433633,0.022206
1237646797063194220,308,119.786241616408,0.1126468786388,301,3,90,0.4094536,7.2255E-05,0.458179,0.031028
1237646797063390324,308,120.280460639729,0.149922207921935,301,3,93,0.2840815,3.44221E-05,0.277144,0.017632
1237646797063390546,308,120.196148145048,0.0724671956797223,301,3,93,0.5956787,0.0001024681,0.606558,0.025466
1237646797063390710,308,120.232778900624,0.124286026367288,301,3,93,0.6831146,0.0001762764,0.695511,0.051865
1237646797063390914,308,120.284612992167,0.127385711181052,301,3,93,0.3921863,5.608333E-05,0.443345,0.02414
1237646797063391167,308,120.230889475619,0.0967110891523964,301,3,93,0.5944148,0.0001358936,0.618879,0.038747
1237646797063456019,308,120.350945554788,0.0422486385998379,301,3,94,0.5426958,0.0001568538,0.579165,0.04044
1237646797063456035,308,120.356400156122,0.149402572031375,301,3,94,0.5799935,0.0001282134,0.517208,0.027791
1237646797063456084,308,120.368038886503,0.0542799911255484,301,3,94,0.582999,0.000139701,0.530911,0.039842
1237646797063456140,308,120.38171055369,0.162519067194654,301,3,94,0.6876821,0.0001834127,0.635253,0.059907
1237646797063456254,308,120.417786079503,0.159615181702287,301,3,94,0.3363734,4.916698E-05,0.343701,0.020802
1237646797063520596,308,120.555914095647,0.0293277120284477,301,3,95,0.7473037,0.0002146118,0.721653,0.036848
1237646797063520846,308,120.473467676691,0.00891433935370561,301,3,95,0.7465649,0.0001729201,0.701829,0.080997
1237646797063521730,308,120.555520817179,0.116830453658565,301,3,95,0.5360788,9.720274E-05,0.570322,0.045404
1237646797063521966,308,120.482651511538,0.0977910229984049,301,3,95,0.6898443,0.0002154087,0.672043,0.06561
1237646797063586089,308,120.704521382841,0.0838078592915626,301,3,96,0.4246244,0.0001356061,0.472249,0.100594
1237646797063587003,308,120.62275557583,0.034581328107366,301,3,96,0.53583,0.0001335955,0.561182,0.029831
1237646797063652523,308,120.775397620742,0.086995756299684,301,3,97,0.5231743,0.0001009611,0.540493,0.043448
1237646797063652734,308,120.844585366655,0.1664149091624,301,3,97,0.2874291,7.076769E-05,0.398976,0.041158
1237646797063718612,308,120.990593625471,0.0931302436060718,301,3,98,0.5921348,0.0001702112,0.61946,0.030621
1237646797063783829,308,121.143647599386,-0.0101566472462072,301,3,99,0.5352152,0.0001038161,0.520618,0.032777
1237646797063913612,308,121.395747990018,0.0279663489862158,301,3,101,0.6587305,0.0001781439,0.568037,0.026553
1237646797063913935,308,121.504814286864,0.0823159614083446,301,3,101,0.503435,0.0002339156,0.547641,0.042894
1237646797063914650,308,121.379777268967,0.107399676745629,301,3,101,0.4434872,0.0002573037,0.470337,0.041197
1237646797063914756,308,121.416602666231,0.00752503224755967,301,3,101,0.6230686,5.900412E-05,0.571599,0.0606
1237646797063914811,308,121.430050049578,0.11025454410572,301,3,101,0.5552028,8.588771E-05,0.534,0.03096
1237646797063979263,308,121.579273008401,0.0601315695653807,301,3,102,0.5600035,0.0001701563,0.438809,0.097709
1237646797063980088,308,121.598180448521,0.122095757385883,301,3,102,0.5058169,0.0001335813,0.577958,0.036467
1237646797063980377,308,121.608420577073,0.00849167172337357,301,3,102,0.6206207,0.0002084363,0.685437,0.088718
1237646797063980569,308,121.656708758534,0.102345565908278,301,3,102,0.5599101,0.0001088466,0.547399,0.036396
1237646797063980588,308,121.660232701085,0.0986855308963151,301,3,102,0.6398361,0.000182131,0.631828,0.04133
1237646797063980719,308,121.593590167453,0.0883762009751276,301,3,102,0.5587455,0.0001505557,0.555816,0.033201
1237646797064045584,308,121.674153564182,0.108838947515346,301,3,103,0.1965515,3.033467E-05,0.212407,0.018923
1237646797064046061,308,121.778142376936,0.0191216522081918,301,3,103,0.4395976,8.215996E-05,0.470674,0.019308
1237646797064046218,308,121.70352367417,0.0385599611001499,301,3,103,0.5277603,0.0001773157,0.549664,0.032359
1237646797064111222,308,121.838290478602,0.0991391981193869,301,3,104,0.35945,5.493462E-05,0.350873,0.028989
1237646797599933343,308,119.564191902139,0.432338863796842,301,4,88,0.4828095,0.00013105,0.495727,0.028883
1237646797599998406,308,119.694866005115,0.525656056705753,301,4,89,0.1706965,2.37186E-05,0.197484,0.018113
1237646797600065082,308,119.839006864114,0.440883406901704,301,4,90,0.360463,6.335448E-05,0.353922,0.025912
1237646797600130333,308,119.89804977451,0.477721185013766,301,4,91,0.630503,0.0001336787,0.569254,0.051824
1237646797600130428,308,119.931668695711,0.550292061228179,301,4,91,0.798898,0.0003221351,0.473711,0.03542
1237646797600130575,308,119.990000712314,0.535360763913692,301,4,91,0.619608,0.0001209874,0.658869,0.060508
1237646797600194611,308,120.034082333697,0.500733268252037,301,4,92,0.4611808,9.077829E-05,0.477786,0.025207
1237646797600196031,308,120.118579653151,0.508960342106216,301,4,92,0.5238079,0.0001303516,0.545294,0.025741
1237646797600260905,308,120.245380944706,0.566967152297133,301,4,93,0.3620057,0.0001118962,0.464718,0.035815
1237646797600261150,308,120.189575396392,0.45263658968969,301,4,93,0.2883581,3.5511E-05,0.309128,0.018172
1237646797600326772,308,120.330981651125,0.482313449160366,301,4,94,0.3481319,5.498934E-05,0.393401,0.03133
1237646797600326918,308,120.34176920597,0.532225148608204,301,4,94,0.5520955,0.0001478026,0.531448,0.046917
1237646797600327134,308,120.412842632208,0.453742766304562,301,4,94,0.5268081,8.920061E-05,0.555962,0.062199
1237646797600392410,308,120.483187540055,0.551763852700357,301,4,95,0.4205185,0.0001526181,0.497909,0.066625
1237646797600392658,308,120.557033726631,0.545418422070101,301,4,95,0.5720813,0.0001509639,0.578529,0.045774
1237646797600457568,308,120.756909227274,0.585627219418022,301,4,96,0.1148564,2.092016E-05,0.109893,0.011838
1237646797600522915,308,120.785531698178,0.514851534672715,301,4,97,0.3580304,6.864654E-05,0.388272,0.029686
1237646797600522952,308,120.804562810319,0.494229119840546,301,4,97,0.2199509,2.373874E-05,0.243454,0.020664
1237646797600523501,308,120.788847914967,0.439147280562677,301,4,97,0.3096963,4.763613E-05,0.276416,0.042915
1237646797600523790,308,120.862269096453,0.469475934580761,301,4,97,0.3581855,7.545E-05,0.367934,0.025179
1237646797600523923,308,120.902282294302,0.495115842122981,301,4,97,0.5028002,0.0001531107,0.506391,0.025272
1237646797600524113,308,120.838191747775,0.50626009024493,301,4,97,0.6083471,0.0001794498,0.555721,0.044989
1237646797600588493,308,120.938445864588,0.483417903819826,301,4,98,0.3579431,5.755815E-05,0.342319,0.018836
1237646797600588680,308,121.011055679755,0.517471037162515,301,4,98,0.357287,9.088674E-05,0.384285,0.029437
1237646797600589133,308,120.958295832564,0.531063535647997,301,4,98,0.5998042,0.0001724086,0.566511,0.080471
1237646797600589250,308,120.996097554253,0.546964383222559,301,4,98,0.3594408,6.806001E-05,0.358592,0.026499
1237646797600654042,308,121.086776190251,0.520011481939931,301,4,99,0.3584506,6.675066E-05,0.401685,0.03402
1237646797600654599,308,121.079295347182,0.580191923069418,301,4,99,0.55473,0.0001076104,0.549204,0.033929
1237646797600720214,308,121.257599736847,0.5517158926636,301,4,100,0.3586466,6.068835E-05,0.354708,0.021417
1237646797600720257,308,121.266354335309,0.588564355762564,301,4,100,0.4949013,0.0001238506,0.478906,0.043734
1237646797600720337,308,121.295086900625,0.424422084555581,301,4,100,0.4363137,0.0001512715,0.44276,0.032577
1237646797600784763,308,121.477912499482,0.470557490002134,301,4,101,0.5618874,0.0001001167,0.543347,0.029641
1237646797600785468,308,121.511422166151,0.561635843091265,301,4,101,0.4853866,0.0001351812,0.505999,0.028258
1237646797600851081,308,121.553168436907,0.473242222225189,301,4,102,0.5526523,0.000209898,0.553875,0.049432
1237646797600851152,308,121.573051248601,0.477688386993744,301,4,102,0.6420072,0.0001783661,0.581789,0.042613
